Results from Equal-Weighted Portfolio Sorts of Excess Returns in t+3 of Equity-Related Hedge Funds Based on UP in t,,,,,,,
Year,Month,Future Return in % (t+3) PF1,Future Return in % (t+3) PF2,Future Return in % (t+3) PF3,Future Return in % (t+3) PF4,Future Return in % (t+3) PF5,Strategy: PF5 Minus PF1 in %
1997,4,-1.31327,0.39997,1.08324,-0.05838,0.15997,1.47324
1997,5,4.47440,5.27606,3.78509,2.76521,3.48669,-0.98771
1997,6,2.70147,2.32283,2.58532,3.42200,2.16787,-0.53361
1997,7,5.11973,4.98621,4.72292,5.15111,8.34280,3.22307
1997,8,0.05032,-1.01196,-0.61833,-0.14906,1.10194,1.05162
1997,9,6.25978,5.69899,5.01145,5.15504,5.62670,-0.63308
1997,10,-3.06732,-1.20348,-3.42619,-1.69164,-5.69931,-2.63200
1997,11,-3.66293,0.73193,-1.30413,-1.67895,-1.95641,1.70652
1997,12,0.95895,-0.43283,1.76730,0.42002,-0.16506,-1.12401
1998,1,-4.35082,-0.11370,-1.12455,-1.70799,-0.70172,3.64909
1998,2,1.77881,3.33825,3.33152,6.18568,4.25378,2.47497
1998,3,0.11426,4.64458,3.08817,2.80756,3.54203,3.42777
1998,4,-0.24121,0.20522,0.31998,1.31049,-0.80792,-0.56672
1998,5,-3.80652,-3.48420,-2.04949,-1.87166,-5.06605,-1.25954
1998,6,0.60874,-0.09073,-0.26747,1.61950,5.56764,4.95889
1998,7,-0.77460,-0.74254,-2.43724,-3.76969,-2.04959,-1.27500
1998,8,-10.25794,-13.80099,-11.45320,-10.76608,-10.12694,0.13100
1998,9,0.55225,-0.54457,0.85188,4.02320,3.02057,2.46832
1998,10,0.42745,0.78592,-0.84681,1.45255,2.19698,1.76953
1998,11,4.11092,1.56856,3.11731,3.11381,6.07594,1.96502
1998,12,6.81433,2.66361,2.88645,5.24084,5.00367,-1.81065
1999,1,0.33912,5.14493,0.95851,1.51115,4.28273,3.94361
1999,2,-3.54460,-2.58598,-2.34734,-3.24503,-2.79152,0.75307
1999,3,3.73598,0.18763,1.96926,1.25941,4.92456,1.18859
1999,4,5.66144,3.66340,2.31928,6.44834,4.41185,-1.24959
1999,5,-0.82171,0.39925,-0.64913,0.69959,0.64672,1.46844
1999,6,3.10749,3.45006,1.45680,3.69436,3.42633,0.31884
1999,7,-0.30688,-0.90168,-0.86448,1.78491,0.80588,1.11275
1999,8,0.02163,0.44640,-0.97644,-1.28063,-2.48853,-2.51016
1999,9,-1.19175,-1.74178,-1.19020,0.62093,-0.14310,1.04865
1999,10,2.61272,0.93278,2.72194,2.59529,-0.04866,-2.66138
1999,11,3.91065,3.88214,1.62247,4.70300,7.88356,3.97291
1999,12,9.65172,7.80523,6.28578,2.97191,9.33125,-0.32046
2000,1,-1.42705,-2.15323,-2.44358,-0.06937,-1.26147,0.16558
2000,2,5.57908,0.78292,6.86147,6.51124,15.71285,10.13377
2000,3,-1.12276,1.13621,2.12543,0.67013,-1.10941,0.01335
2000,4,-5.54258,-1.75138,-2.24565,-3.97266,-0.01374,5.52884
2000,5,-2.03671,-0.24362,-3.07912,-0.36464,-2.35665,-0.31994
2000,6,3.93203,1.71511,2.88192,4.51824,4.03201,0.09998
2000,7,0.13772,-0.43462,-0.99882,0.05014,-1.60437,-1.74210
2000,8,6.49521,3.65223,3.81715,2.68006,4.95648,-1.53873
2000,9,-2.11660,-1.36888,-0.15448,-2.99977,1.40251,3.51912
2000,10,-2.43464,-2.86724,-1.17364,-3.10615,-2.24084,0.19380
2000,11,-6.01158,-4.89093,-5.81402,-2.29793,-5.68847,0.32311
2000,12,2.20709,2.97926,0.98592,2.97044,2.89895,0.69187
2001,1,0.55873,2.93623,6.52294,2.64420,1.51986,0.96112
2001,2,-2.90128,-4.90458,-0.33163,-1.15775,-1.30473,1.59655
2001,3,-1.29816,-2.40530,-2.27602,-2.13123,-2.86803,-1.56987
2001,4,0.23281,0.40408,2.70497,1.52881,2.96444,2.73162
2001,5,0.99712,1.74015,1.88704,0.05374,1.86233,0.86521
2001,6,-0.55800,0.40837,0.94946,1.57163,-0.12256,0.43545
2001,7,-0.95014,-1.90596,-1.16253,-0.90206,-0.50356,0.44658
